Profile: allExchangesDaily
Exchanges: Anxhk, Bit-x, Bitbay, Bitfinex, Bitkonan, Bitstamp, Btce, Campbx, Cex, Coinbase, Cointrader, Exmo, Gatecoin, Gemini, Hitbtc, Itbit, Kraken, Lakebtc, Okcoin, Rock, Vircurex, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid10000, Ask10000, Bid50000, Ask50000, Bid80000, Ask80000, Bid100000, Ask100000, BidRatio10, BidRatio100, BidRatio1000, BidRatio10000, BidRatio50000, BidRatio80000, BidRatio100000, 
2016-01-11 12:21:40, 31164309,58628, 449.5, 411.01, 447.29, 442.47, 445.86, 444.77, 441.6, 447.08, 431.02, 466.68, 372.89, False, 309.71, False, -0.01, -0.005, -0.002, 0.008, 0.032, 0.162, 0.304, 
2016-01-14 00:22:54, 34012503,71998, 433.16, 411.01, 432.23, 426.92, 431.59, 431.32, 428.9, 432.71, 421.27, 442.8, 385.65, False, 338.58, False, -0.005, -0.003, -0.002, 0.005, 0.022, 0.105, 0.214, 
2016-01-16 12:24:48, An exchange was down. This profile is being skipped. Failed exchange = Exmo, URL=https://api.exmo.com/v1/order_book/?pair=BTC_USD
2016-01-19 00:25:19, 31606366,66184, 390.36, 382.39, 388.41, 383.79, 385.49, 385.38, 382.61, 388.87, 357.73, 412.81, 345.39, False, 304.33, False, -0.013, -0.008, 0.0, 0.007, 0.072, 0.104, 0.211, 
2016-01-21 12:26:04, 26705333,65701, 415.85, 411.53, 415.28, 411.55, 413.68, 413.71, 410.49, 416.76, 388.64, 430.73, 313.69, False, 266.0, False, -0.005, -0.004, 0.0, 0.008, 0.061, 0.242, 0.357, 
2016-01-24 00:26:13, 25071088,69357, 389.09, 359.59, 388.36, 383.05, 386.39, 387.43, 384.19, 390.86, 367.75, 411.15, 301.97, False, 248.62, False, -0.007, -0.005, 0.0, 0.006, 0.048, 0.218, 0.357, 
2016-03-12 20:18:35, 34553669,100456, 413.59, 403.71, 410.93, 407.76, 409.31, 409.86, 408.28, 411.22, 406.39, 413.12, 387.75, 417.92, 341.49, 460.11, -0.01, -0.004, 0.0, 0.003, 0.007, 0.053, 0.166, 
2016-03-15 08:20:16, 37158421,95774, 420.24, 407.39, 417.41, 411.68, 415.34, 415.29, 413.93, 417.14, 412.48, 418.99, 399.96, 424.19, 360.75, False, -0.012, -0.005, 0.0, 0.003, 0.007, 0.037, 0.131, 
2016-03-17 20:22:25, 28860968,65038, 421.16, 407.52, 420.01, 413.96, 419.41, 418.16, 416.24, 420.78, 407.02, 431.24, 349.18, False, 281.15, False, -0.004, -0.001, 0.0, 0.008, 0.03, 0.167, 0.33, 
2016-03-20 08:22:35, 30146642,79128, 414.06, 398.67, 411.89, 408.31, 411.2, 410.35, 408.06, 411.5, 401.43, 414.91, 358.32, False, 301.18, False, -0.007, -0.002, 0.0, 0.008, 0.024, 0.129, 0.268, 
