Profile: allExchangesTenMins
Exchanges: Anxhk, Bit-x, Bitbay, Bitfinex, Bitkonan, Bitstamp, Btce, Campbx, Cex, Coinbase, Cointrader, Exmo, Gatecoin, Gemini, Hitbtc, Itbit, Kraken, Lakebtc, Okcoin, Rock, Vircurex, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid10000, Ask10000, Bid50000, Ask50000, Bid80000, Ask80000, Bid100000, Ask100000, BidRatio10, BidRatio100, BidRatio1000, BidRatio10000, BidRatio50000, BidRatio80000, BidRatio100000, 
2016-01-11 12:22:15, 31283939,58323, 449.52, 411.01, 447.25, 442.49, 445.7, 444.77, 441.55, 447.14, 431.1, 467.46, 373.85, False, 312.43, False, -0.011, -0.005, -0.002, 0.007, 0.031, 0.16, 0.298, 
2016-01-11 12:32:56, 31116413,64794, 449.34, 411.01, 447.3, 442.58, 445.74, 444.76, 441.55, 446.9, 430.82, 457.68, 371.94, False, 309.58, False, -0.01, -0.005, -0.002, 0.007, 0.032, 0.164, 0.304, 
2016-01-11 12:43:45, 31526552,59090, 449.38, 411.01, 447.63, 442.25, 446.3, 444.77, 441.92, 447.22, 431.39, 465.51, 374.37, False, 313.25, False, -0.009, -0.005, -0.002, 0.008, 0.032, 0.16, 0.297, 
2016-01-11 12:54:24, 32265177,63257, 449.43, 411.01, 447.59, 442.13, 446.31, 444.75, 442.7, 447.25, 432.88, 459.43, 381.71, False, 315.4, False, -0.009, -0.005, -0.002, 0.006, 0.028, 0.143, 0.292, 
2016-01-11 13:05:00, 32044889,66514, 449.8, 411.01, 447.76, 444.54, 446.61, 444.54, 442.86, 447.32, 432.71, 457.18, 375.4, False, 314.71, False, -0.009, -0.005, -0.002, 0.006, 0.029, 0.158, 0.294, 
2016-01-11 13:15:39, 33445726,66718, 449.83, 411.01, 447.77, 444.54, 446.59, 444.54, 442.91, 447.38, 435.21, 456.57, 388.91, False, 331.31, False, -0.009, -0.005, -0.002, 0.006, 0.024, 0.128, 0.257, 
2016-01-11 13:26:16, 34278854,59512, 449.92, 411.01, 448.33, 444.54, 447.07, 444.54, 442.97, 448.1, 435.89, 465.25, 396.6, False, 342.5, False, -0.009, -0.005, -0.002, 0.007, 0.023, 0.111, 0.232, 
2016-01-11 13:36:52, 34277435,63066, 449.92, 411.01, 447.48, 441.78, 446.34, 444.52, 442.73, 447.78, 435.74, 460.07, 396.54, False, 342.44, False, -0.01, -0.005, -0.002, 0.006, 0.022, 0.11, 0.231, 
2016-01-11 13:47:29, 33652644,58218, 449.89, 411.01, 447.9, 441.23, 446.52, 444.52, 442.8, 448.02, 435.53, 468.56, 392.14, False, 332.02, False, -0.01, -0.006, -0.003, 0.006, 0.022, 0.12, 0.255, 
2016-01-11 13:58:05, 33575107,64879, 449.97, 411.01, 447.96, 441.4, 446.5, 444.52, 442.74, 447.82, 435.4, 458.6, 391.88, False, 331.72, False, -0.011, -0.006, -0.003, 0.006, 0.022, 0.12, 0.255, 
