Profile: oneExch-Bit-xTenMins
Exchanges: Bit-x, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid2000, Ask2000, Bid5000, Ask5000, Bid7000, Ask7000, Bid10000, Ask10000, Bid20000, Ask20000, Bid30000, Ask30000, Bid50000, Ask50000, BidRatio10, BidRatio100, BidRatio1000, BidRatio2000, BidRatio5000, BidRatio7000, BidRatio10000, BidRatio20000, BidRatio30000, BidRatio50000, 
2016-01-16 02:27:08, 1584778,3468, 369.0, 376.9, 368.44, 377.74, 366.16, 379.37, 365.08, 381.73, False, False, False, False, False, False, False, False, False, False, False, False, -0.012, -0.01, -0.004, -0.001, False, False, False, False, False, False, 
2016-01-16 02:37:41, 1493104,3554, 367.93, 375.96, 367.11, 377.15, 365.1, 379.42, 363.23, 383.28, False, False, False, False, False, False, False, False, False, False, False, False, -0.011, -0.009, -0.004, 0.001, False, False, False, False, False, False, 
2016-01-16 02:48:18, 1549230,3434, 367.93, 377.09, 367.51, 377.72, 366.05, 380.58, 364.48, 383.93, False, False, False, False, False, False, False, False, False, False, False, False, -0.01, -0.009, -0.005, -0.0, False, False, False, False, False, False, 
2016-01-16 02:58:32, 1664047,3330, 371.44, 380.74, 371.15, 381.62, 369.45, 383.42, 368.72, 385.38, False, False, False, False, False, False, False, False, False, False, False, False, -0.006, -0.005, -0.001, 0.001, False, False, False, False, False, False, 
2016-01-16 03:08:50, 1618314,3292, 370.71, 379.63, 370.11, 380.27, 368.35, 382.46, 366.43, 384.31, False, False, False, False, False, False, False, False, False, False, False, False, -0.011, -0.009, -0.004, 0.001, False, False, False, False, False, False, 
2016-01-16 03:19:31, 1546001,3497, 368.23, 376.85, 367.65, 377.94, 366.33, 380.75, 364.58, 382.38, False, False, False, False, False, False, False, False, False, False, False, False, -0.01, -0.008, -0.005, 0.0, False, False, False, False, False, False, 
2016-01-16 03:29:30, 1499205,3379, 368.67, 376.89, 368.09, 378.44, 366.23, 380.98, 364.45, 384.06, False, False, False, False, False, False, False, False, False, False, False, False, -0.011, -0.009, -0.004, 0.001, False, False, False, False, False, False, 
2016-01-16 03:39:56, 1537171,3765, 367.93, 376.98, 367.7, 377.21, 366.48, 380.03, 364.59, 382.18, False, False, False, False, False, False, False, False, False, False, False, False, -0.009, -0.008, -0.005, 0.0, False, False, False, False, False, False, 
2016-01-16 03:50:09, 1640758,3547, 368.71, 376.72, 368.0, 378.64, 366.42, 380.63, 364.5, 383.88, False, False, False, False, False, False, False, False, False, False, False, False, -0.011, -0.009, -0.005, 0.0, False, False, False, False, False, False, 
2016-01-16 04:00:54, 1650048,3617, 368.71, 376.25, 368.25, 376.25, 366.49, 380.02, 365.47, 381.91, False, False, False, False, False, False, False, False, False, False, False, False, -0.009, -0.008, -0.003, 0.0, False, False, False, False, False, False, 
2016-01-16 04:10:54, 1581007,3934, 365.46, 374.41, 365.45, 375.7, 364.28, 378.14, 362.71, 379.54, False, False, False, False, False, False, False, False, False, False, False, False, -0.006, -0.006, -0.003, 0.002, False, False, False, False, False, False, 
2016-01-16 04:21:44, 1537119,3876, 367.24, 375.96, 366.77, 376.19, 365.27, 378.78, 364.26, 380.24, False, False, False, False, False, False, False, False, False, False, False, False, -0.008, -0.007, -0.003, -0.0, False, False, False, False, False, False, 
2016-01-16 04:31:50, 1441875,3413, 367.72, 375.47, 367.23, 376.01, 365.14, 378.54, 363.73, 380.53, False, False, False, False, False, False, False, False, False, False, False, False, -0.011, -0.01, -0.004, -0.0, False, False, False, False, False, False, 
2016-01-16 04:42:05, 1475558,3558, 367.45, 376.25, 367.25, 376.49, 365.69, 379.38, 364.24, 381.46, False, False, False, False, False, False, False, False, False, False, False, False, -0.009, -0.008, -0.004, 0.0, False, False, False, False, False, False, 
2016-01-16 05:06:01, 1610716,3594, 371.47, 379.08, 371.16, 379.65, 369.35, 382.36, 367.5, 384.84, False, False, False, False, False, False, False, False, False, False, False, False, -0.01, -0.01, -0.005, 0.0, False, False, False, False, False, False, 
2016-01-16 05:16:20, 1623651,3714, 369.22, 378.0, 368.92, 378.71, 367.45, 380.97, 366.27, 382.43, False, False, False, False, False, False, False, False, False, False, False, False, -0.008, -0.007, -0.003, 0.0, False, False, False, False, False, False, 
2016-01-16 05:26:35, 1645702,3703, 368.1, 377.26, 367.88, 378.18, 366.76, 380.04, 365.46, 381.67, False, False, False, False, False, False, False, False, False, False, False, False, -0.007, -0.006, -0.003, 0.0, False, False, False, False, False, False, 
2016-01-16 05:36:48, 1561737,3607, 367.69, 375.86, 367.14, 376.75, 365.88, 378.97, 364.72, 380.88, False, False, False, False, False, False, False, False, False, False, False, False, -0.007, -0.006, -0.002, 0.001, False, False, False, False, False, False, 
2016-01-16 05:47:33, 1579524,3590, 367.93, 376.45, 367.64, 377.51, 366.23, 379.94, 365.11, 383.58, False, False, False, False, False, False, False, False, False, False, False, False, -0.008, -0.007, -0.003, -0.0, False, False, False, False, False, False, 
2016-01-16 05:58:17, 1595101,3419, 367.93, 376.38, 367.66, 377.26, 366.42, 378.95, 365.12, 381.33, False, False, False, False, False, False, False, False, False, False, False, False, -0.008, -0.007, -0.004, -0.0, False, False, False, False, False, False, 
2016-01-16 06:09:01, 1520764,3934, 368.07, 375.95, 367.59, 377.23, 365.73, 379.6, 364.51, 381.67, False, False, False, False, False, False, False, False, False, False, False, False, -0.01, -0.009, -0.004, -0.0, False, False, False, False, False, False, 
