Profile: oneExch-BitfinexDaily
Exchanges: Bitfinex, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid2000, Ask2000, Bid5000, Ask5000, Bid7000, Ask7000, Bid10000, Ask10000, Bid20000, Ask20000, Bid30000, Ask30000, Bid50000, Ask50000, BidRatio10, BidRatio100, BidRatio1000, BidRatio2000, BidRatio5000, BidRatio7000, BidRatio10000, BidRatio20000, BidRatio30000, BidRatio50000, 
2016-01-16 02:35:42, 7824565,17881, 371.35, 372.48, 371.32, 373.07, 369.5, 375.04, 367.74, 378.51, 363.02, 385.55, 359.79, 393.77, 354.7, 407.06, 319.87, False, 251.23, False, 155.3, False, -0.009, -0.009, -0.004, 0.001, 0.014, 0.022, 0.036, 0.131, 0.317, 0.578, 
2016-01-18 14:36:10, 8211732,20698, 386.95, 387.0, 386.76, 387.62, 385.14, 389.1, 383.58, 391.2, 377.13, 396.67, 373.12, 398.48, 366.27, 401.7, 325.57, 455.51, 260.97, False, 160.87, False, -0.005, -0.004, 0.0, 0.004, 0.021, 0.031, 0.049, 0.155, 0.322, 0.582, 
2016-01-21 02:36:19, 8269759,14198, 420.31, 420.57, 419.81, 421.03, 417.62, 424.09, 415.59, 427.19, 408.82, 431.46, 404.64, 436.51, 394.41, 454.63, 336.89, False, 264.94, False, 164.86, False, -0.006, -0.005, 0.0, 0.005, 0.021, 0.031, 0.056, 0.193, 0.366, 0.605, 
2016-01-23 14:37:23, 7235661,22503, 383.7, 383.94, 383.39, 384.44, 380.41, 388.17, 378.27, 389.96, 372.26, 396.72, 368.01, 401.23, 362.6, 409.56, 309.0, 441.55, 238.48, False, 118.51, False, -0.009, -0.008, 0.0, 0.006, 0.021, 0.033, 0.047, 0.188, 0.373, 0.688, 
2016-03-12 20:19:47, 6992520,23169, 409.62, 409.83, 409.19, 409.93, 407.55, 411.61, 405.18, 413.01, 399.22, 417.17, 394.17, 419.77, 387.6, 422.93, 307.83, 447.32, 211.8, False, 130.08, False, -0.005, -0.004, 0.0, 0.006, 0.02, 0.033, 0.049, 0.245, 0.48, 0.681, 
2016-03-15 08:20:24, 7321261,18620, 415.85, 416.37, 415.49, 416.75, 413.91, 418.85, 412.8, 420.94, 406.55, 425.22, 402.25, 427.5, 394.95, 431.91, 313.44, False, 217.35, False, 134.52, False, -0.005, -0.004, 0.0, 0.003, 0.018, 0.028, 0.046, 0.243, 0.475, 0.675, 
2016-03-17 20:22:56, 7687267,20440, 418.71, 419.34, 418.41, 419.6, 417.48, 420.73, 416.49, 423.08, 412.55, 426.7, 409.22, 429.25, 402.05, 433.31, 336.55, 485.87, 251.13, False, 138.93, False, -0.003, -0.002, 0.0, 0.002, 0.012, 0.02, 0.037, 0.194, 0.398, 0.667, 
2016-03-20 08:23:24, 7598033,17130, 410.11, 410.82, 409.91, 410.94, 408.12, 413.49, 405.67, 416.16, 400.11, 421.35, 397.45, 425.34, 393.35, 434.0, 335.23, False, 249.67, False, 137.77, False, -0.005, -0.004, 0.0, 0.006, 0.02, 0.026, 0.036, 0.179, 0.388, 0.662, 
2016-03-22 20:23:36, 7872247,19129, 417.15, 417.84, 416.93, 417.99, 415.16, 419.11, 413.15, 419.66, 406.73, 423.87, 400.6, 426.51, 396.37, 430.54, 340.34, False, 245.67, False, 138.69, False, -0.005, -0.004, 0.0, 0.005, 0.02, 0.035, 0.045, 0.18, 0.408, 0.666, 
2016-03-25 08:23:42, 7864556,19825, 416.18, 416.73, 415.74, 416.75, 413.8, 417.89, 412.42, 418.97, 409.92, 423.98, 407.51, 426.82, 402.81, 430.71, 343.13, False, 246.91, False, 139.02, False, -0.006, -0.005, 0.0, 0.003, 0.009, 0.015, 0.027, 0.171, 0.403, 0.664, 
2016-03-27 20:25:32, 8260137,17902, 428.03, 428.27, 427.79, 429.05, 426.03, 430.39, 425.14, 431.15, 419.13, 434.12, 413.69, 436.27, 407.65, 442.22, 359.53, False, 261.8, False, 145.72, False, -0.005, -0.004, 0.0, 0.002, 0.016, 0.029, 0.043, 0.156, 0.385, 0.658, 
2016-03-30 08:25:52, 6934225,18752, 413.72, 413.73, 413.52, 414.27, 411.22, 416.12, 409.77, 417.99, 404.7, 426.65, 403.31, 431.88, 397.81, 437.03, 314.05, False, 213.86, False, 130.43, False, -0.006, -0.006, 0.0, 0.004, 0.016, 0.019, 0.033, 0.236, 0.48, 0.683, 
2016-04-01 20:27:02, 7176592,16723, 415.68, 416.45, 415.43, 416.74, 413.66, 418.15, 411.76, 419.97, 406.99, 427.56, 405.08, 432.22, 400.39, 444.33, 316.87, False, 217.45, False, 128.49, False, -0.005, -0.004, 0.0, 0.005, 0.016, 0.021, 0.032, 0.234, 0.474, 0.689, 
2016-04-10 22:06:27, 7503153,16927, 421.81, 421.88, 421.3, 421.96, 420.19, 423.01, 418.27, 423.88, 412.3, 428.28, 410.1, 431.82, 405.34, 443.7, 321.92, False, 222.54, False, 148.2, False, -0.004, -0.003, 0.0, 0.005, 0.019, 0.024, 0.035, 0.234, 0.47, 0.647, 
2016-04-13 10:06:49, 7292253,20658, 424.41, 424.58, 424.08, 424.79, 423.12, 426.19, 422.25, 427.22, 419.3, 429.8, 416.32, 431.19, 410.55, 436.59, 322.99, 493.95, 221.31, False, 130.52, False, -0.003, -0.002, 0.0, 0.002, 0.009, 0.016, 0.03, 0.237, 0.477, 0.692, 
2016-04-15 22:07:27, 7894158,18018, 430.12, 430.76, 430.0, 431.02, 429.46, 432.34, 428.66, 433.32, 426.19, 435.96, 423.24, 439.69, 417.43, 444.62, 351.36, False, 260.36, False, 154.14, False, -0.002, -0.001, 0.0, 0.002, 0.008, 0.014, 0.028, 0.182, 0.394, 0.641, 
2016-04-18 10:07:59, 7689943,16254, 429.92, 429.99, 429.77, 430.59, 428.52, 431.53, 427.32, 432.58, 423.96, 436.57, 421.23, 441.31, 415.71, 454.07, 328.39, False, 230.2, False, 152.82, False, -0.003, -0.003, 0.0, 0.003, 0.011, 0.017, 0.03, 0.234, 0.463, 0.643, 
2016-04-25 21:34:57, 8043256,14005, 467.95, 468.3, 467.81, 468.73, 465.92, 470.33, 463.97, 472.69, 455.28, 479.66, 448.93, 492.35, 440.82, 519.37, 361.9, False, 238.62, False, 158.78, False, -0.004, -0.004, 0.0, 0.004, 0.023, 0.036, 0.054, 0.223, 0.488, 0.659, 
2016-04-28 09:35:28, 8242771,16504, 442.82, 442.97, 442.63, 443.61, 440.69, 445.35, 440.02, 446.86, 436.07, 455.01, 434.48, 462.35, 431.55, 481.58, 363.25, False, 273.16, False, 161.29, False, -0.005, -0.004, 0.0, 0.002, 0.01, 0.014, 0.021, 0.176, 0.38, 0.634, 
