Profile: oneExch-BitfinexTenMins
Exchanges: Bitfinex, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid2000, Ask2000, Bid5000, Ask5000, Bid7000, Ask7000, Bid10000, Ask10000, Bid20000, Ask20000, Bid30000, Ask30000, Bid50000, Ask50000, BidRatio10, BidRatio100, BidRatio1000, BidRatio2000, BidRatio5000, BidRatio7000, BidRatio10000, BidRatio20000, BidRatio30000, BidRatio50000, 
2016-01-16 02:28:01, 7764380,18397, 373.85, 373.86, 372.96, 373.99, 370.18, 374.71, 368.15, 376.46, 363.24, 383.63, 359.58, 390.41, 354.61, 403.72, 312.79, False, 250.74, False, 154.66, False, -0.016, -0.013, -0.006, -0.0, 0.013, 0.023, 0.037, 0.15, 0.319, 0.58, 
2016-01-16 02:38:40, 7838115,17924, 372.53, 373.33, 371.86, 373.48, 370.05, 375.21, 368.1, 378.62, 363.36, 385.56, 360.04, 393.61, 355.08, 406.74, 320.12, False, 251.45, False, 155.48, False, -0.011, -0.01, -0.005, 0.001, 0.013, 0.022, 0.036, 0.131, 0.317, 0.578, 
2016-01-16 02:49:11, 7843367,18036, 372.62, 372.63, 372.32, 373.6, 370.31, 375.74, 368.26, 377.79, 363.43, 385.09, 360.14, 392.91, 354.94, 406.32, 320.79, False, 251.45, False, 155.52, False, -0.011, -0.01, -0.005, 0.001, 0.014, 0.023, 0.037, 0.129, 0.318, 0.578, 
2016-01-16 02:59:26, 7948381,17755, 376.0, 376.09, 375.53, 376.49, 373.18, 378.45, 371.12, 380.71, 365.75, 387.74, 361.49, 396.21, 356.31, 410.29, 323.38, False, 252.62, False, 156.75, False, -0.013, -0.012, -0.005, 0.0, 0.015, 0.026, 0.04, 0.129, 0.319, 0.578, 
2016-01-16 03:09:44, 7727587,17532, 375.54, 375.69, 374.88, 375.92, 372.03, 378.17, 369.01, 380.9, 364.03, 388.59, 359.93, 398.16, 354.54, 410.8, 312.47, False, 250.33, False, 154.22, False, -0.017, -0.016, -0.008, 0.0, 0.014, 0.025, 0.039, 0.153, 0.322, 0.582, 
2016-01-16 03:20:28, 7656257,17613, 371.97, 373.02, 371.49, 373.18, 369.31, 375.89, 367.42, 378.94, 362.11, 387.41, 358.07, 397.22, 353.03, 410.04, 311.53, False, 249.34, False, 153.06, False, -0.015, -0.013, -0.007, -0.002, 0.012, 0.023, 0.037, 0.15, 0.32, 0.582, 
2016-01-16 03:31:14, 7763350,18013, 372.77, 373.2, 372.25, 373.7, 370.06, 375.99, 368.13, 378.07, 362.66, 385.33, 359.19, 393.07, 353.89, 406.47, 312.05, False, 250.33, False, 154.5, False, -0.013, -0.011, -0.005, -0.0, 0.015, 0.024, 0.039, 0.152, 0.32, 0.58, 
2016-01-16 03:41:40, 7736067,17538, 373.45, 374.49, 372.77, 374.73, 370.53, 377.23, 368.28, 380.09, 362.66, 388.05, 359.13, 397.78, 353.64, 410.53, 311.93, False, 250.08, False, 154.2, False, -0.015, -0.013, -0.007, -0.001, 0.015, 0.024, 0.039, 0.152, 0.321, 0.581, 
2016-01-16 03:51:53, 7801448,18777, 373.64, 374.24, 373.07, 374.6, 370.82, 376.47, 368.47, 378.33, 363.55, 385.33, 359.48, 390.75, 354.37, 403.16, 319.26, False, 250.75, False, 154.94, False, -0.013, -0.011, -0.005, 0.001, 0.015, 0.026, 0.04, 0.135, 0.32, 0.58, 
2016-01-16 04:02:39, 7913722,18482, 373.55, 373.56, 372.87, 373.91, 370.75, 376.15, 369.29, 378.15, 364.38, 385.17, 360.46, 391.39, 355.75, 404.32, 322.04, False, 252.11, False, 156.3, False, -0.01, -0.008, -0.003, 0.001, 0.015, 0.025, 0.038, 0.129, 0.318, 0.577, 
2016-01-16 04:12:38, 7789883,17923, 371.08, 371.77, 370.56, 372.06, 368.67, 374.61, 367.11, 378.34, 362.27, 386.48, 358.85, 394.11, 353.8, 406.9, 318.94, False, 250.51, False, 154.76, False, -0.011, -0.01, -0.004, -0.0, 0.013, 0.022, 0.036, 0.131, 0.317, 0.578, 
2016-01-16 04:23:28, 7786188,17757, 372.11, 372.53, 371.75, 373.05, 369.71, 375.4, 367.95, 377.84, 362.84, 385.46, 359.4, 394.43, 354.19, 407.24, 312.23, False, 250.58, False, 154.76, False, -0.011, -0.01, -0.005, 0.0, 0.014, 0.024, 0.038, 0.152, 0.319, 0.58, 
