Profile: oneExch-BitstampDaily
Exchanges: Bitstamp, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid2000, Ask2000, Bid5000, Ask5000, Bid7000, Ask7000, Bid10000, Ask10000, Bid20000, Ask20000, Bid30000, Ask30000, Bid50000, Ask50000, BidRatio10, BidRatio100, BidRatio1000, BidRatio2000, BidRatio5000, BidRatio7000, BidRatio10000, BidRatio20000, BidRatio30000, BidRatio50000, 
2016-01-16 02:35:44, 3928530,16374, 370.13, 372.19, 369.36, 372.41, 360.67, 379.43, 355.55, 384.76, 337.85, 401.3, 332.86, 413.6, 311.16, 427.28, 186.43, False, 45.69, False, False, False, -0.047, -0.045, -0.02, -0.006, 0.044, 0.058, 0.12, 0.473, 0.871, False, 
2016-01-18 14:36:13, 4205969,15894, 385.25, 386.59, 384.83, 386.83, 379.39, 390.25, 371.4, 394.72, 359.22, 407.16, 348.42, 417.5, 327.46, 431.41, 209.91, False, 48.42, False, False, False, -0.015, -0.014, 0.0, 0.021, 0.053, 0.082, 0.137, 0.447, 0.872, False, 
2016-01-21 02:36:21, 4765319,12391, 417.41, 417.88, 416.63, 419.16, 407.08, 425.4, 400.61, 428.51, 381.75, 441.7, 371.25, 451.29, 352.16, 477.47, 227.94, False, 54.31, False, False, False, -0.025, -0.023, 0.0, 0.016, 0.062, 0.088, 0.135, 0.44, 0.867, False, 
2016-01-23 14:37:26, 4159232,15423, 385.09, 385.98, 383.98, 386.07, 379.87, 392.13, 375.01, 399.63, 362.87, 414.94, 351.25, 422.49, 328.62, 436.09, 207.42, False, 48.22, False, False, False, -0.014, -0.011, 0.0, 0.013, 0.045, 0.075, 0.135, 0.454, 0.873, False, 
2016-03-12 20:19:52, 5290499,12128, 410.24, 410.76, 408.96, 411.18, 404.39, 414.37, 400.07, 418.06, 385.57, 430.99, 381.63, 440.15, 373.52, 466.4, 261.74, False, 59.97, False, False, False, -0.014, -0.011, 0.0, 0.011, 0.047, 0.056, 0.076, 0.353, 0.852, False, 
2016-03-15 08:20:38, 5380626,11847, 414.65, 415.56, 413.99, 416.29, 408.0, 420.0, 403.33, 422.44, 387.04, 434.05, 384.91, 443.24, 375.71, 484.82, 261.95, False, 60.77, False, False, False, -0.016, -0.015, 0.0, 0.011, 0.051, 0.057, 0.079, 0.358, 0.851, False, 
2016-03-17 20:23:11, 4746903,11625, 418.47, 418.97, 417.37, 419.32, 411.75, 421.25, 406.71, 422.67, 390.71, 434.93, 383.91, 445.32, 364.38, 520.41, 235.45, False, 54.57, False, False, False, -0.016, -0.014, 0.0, 0.012, 0.051, 0.068, 0.115, 0.428, 0.867, False, 
2016-03-20 08:23:32, 5166811,11790, 408.0, 409.48, 406.93, 410.32, 403.21, 412.92, 399.84, 417.22, 393.78, 431.73, 387.08, 440.97, 373.17, 482.5, 256.99, False, 58.66, False, False, False, -0.012, -0.009, 0.0, 0.008, 0.023, 0.04, 0.075, 0.363, 0.855, False, 
2016-03-22 20:23:47, 5252448,11009, 416.18, 416.99, 414.86, 417.0, 407.55, 418.58, 401.28, 422.12, 396.86, 434.84, 388.48, 450.09, 376.51, 534.87, 257.67, False, 59.44, False, False, False, -0.021, -0.018, 0.0, 0.015, 0.026, 0.047, 0.076, 0.368, 0.854, False, 
2016-03-25 08:24:43, 5196653,10579, 414.75, 415.82, 413.85, 416.49, 406.81, 418.37, 401.2, 420.86, 395.24, 434.29, 388.28, 449.19, 374.46, 676.91, 256.57, False, 58.9, False, False, False, -0.02, -0.017, 0.0, 0.014, 0.028, 0.046, 0.08, 0.369, 0.855, False, 
