Profile: oneExch-BtceTenMins
Exchanges: Btce, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid2000, Ask2000, Bid5000, Ask5000, Bid7000, Ask7000, Bid10000, Ask10000, Bid20000, Ask20000, Bid30000, Ask30000, Bid50000, Ask50000, BidRatio10, BidRatio100, BidRatio1000, BidRatio2000, BidRatio5000, BidRatio7000, BidRatio10000, BidRatio20000, BidRatio30000, BidRatio50000, 
2016-01-16 02:30:04, 113679,212, 371.68, 374.4, 371.21, 377.24, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 02:41:05, 105410,213, 371.13, 373.1, 370.83, 376.37, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 02:51:20, 129199,185, 372.64, 373.82, 371.78, 378.04, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 03:01:37, 156202,226, 376.0, 377.31, 373.67, 378.29, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 03:12:26, 106852,239, 372.82, 376.45, 371.58, 377.52, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 03:23:13, 106717,176, 372.13, 376.64, 371.24, 378.85, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 03:37:48, 130916,311, 371.47, 372.42, 370.43, 373.89, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 03:48:03, 145481,345, 371.87, 374.33, 371.55, 375.2, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 03:58:48, 138246,401, 371.3, 372.88, 371.04, 374.54, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 04:09:37, 68773,444, 369.08, 370.99, 369.01, 371.33, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 04:20:26, 52233,417, 369.56, 371.39, 368.68, 371.54, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 04:30:32, 57142,381, 369.73, 371.4, 368.96, 371.79, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 04:40:45, 72281,440, 370.81, 371.4, 370.16, 372.31, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 05:06:11, 123822,355, 373.48, 374.62, 372.61, 376.17, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 05:16:28, 124301,404, 372.05, 373.85, 371.51, 374.67, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 05:26:43, 109485,359, 372.0, 373.9, 371.75, 374.58, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 05:36:57, 102738,360, 372.0, 373.02, 370.86, 374.3, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 05:47:41, 92103,377, 372.0, 373.57, 370.74, 374.41, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 05:58:25, 80842,372, 371.09, 373.39, 370.3, 374.36, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 06:09:09, 85530,381, 372.03, 373.05, 370.43, 373.99, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 06:19:51, 52199,221, 368.52, 370.16, 366.93, 373.81, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 06:30:36, 181751,308, 367.0, 368.82, 366.18, 370.9, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 06:40:45, 175104,357, 366.4, 368.46, 365.92, 369.52, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 06:50:59, 252512,420, 365.9, 368.08, 365.31, 369.06, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 07:01:13, 217447,485, 366.2, 367.29, 364.56, 368.75, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 07:11:48, 170540,446, 366.41, 369.43, 365.72, 369.92, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 07:22:32, 217743,434, 363.64, 365.84, 362.87, 367.5, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 07:33:19, 181013,641, 362.0, 363.55, 361.1, 363.94, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 07:44:01, 170109,588, 358.58, 360.0, 357.19, 361.7, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 07:54:47, 152976,575, 357.06, 359.98, 355.91, 361.67, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 08:04:48, 234355,402, 350.1, 352.9, 348.95, 354.37, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 08:15:38, 205980,656, 355.18, 356.88, 354.5, 358.72, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 08:25:56, 142342,612, 357.68, 358.75, 356.2, 359.17, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 08:36:07, 116896,666, 360.12, 361.0, 358.22, 362.62, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 08:46:26, 165261,369, 354.83, 355.73, 354.13, 358.77, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 08:57:00, 207061,326, 352.7, 354.77, 351.78, 356.97, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 09:07:34, 207842,277, 355.0, 356.0, 353.62, 358.75, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 09:17:39, 190908,219, 356.04, 357.93, 355.4, 360.46, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 09:28:26, 129582,665, 357.1, 359.93, 355.9, 360.29, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 09:39:15, 123308,302, 357.09, 358.69, 356.41, 359.99, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 09:49:15, 157497,394, 355.2, 357.52, 354.28, 358.24, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 10:00:05, 156380,398, 356.38, 356.5, 355.52, 357.33, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 10:11:02, 182889,893, 361.0, 364.04, 360.98, 364.93, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 10:21:03, 129344,380, 367.27, 369.99, 366.04, 371.28, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 10:31:12, 136561,434, 364.79, 364.8, 363.7, 366.53, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 10:41:29, 123577,387, 366.65, 369.99, 366.34, 370.78, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 10:52:10, 115894,422, 371.01, 371.76, 370.07, 372.34, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 11:02:33, 117015,445, 367.02, 368.0, 365.53, 368.63, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 11:12:39, 137595,588, 366.2, 367.47, 366.2, 368.16, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 11:38:25, 180869,451, 366.5, 367.21, 366.24, 368.81, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 11:48:30, 152510,454, 366.21, 367.33, 366.2, 369.05, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 11:59:00, 99288,463, 366.15, 367.83, 365.07, 368.82, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 12:09:12, 133267,513, 364.2, 366.31, 364.18, 367.58, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 12:20:06, 109718,530, 362.16, 363.79, 360.85, 365.25, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 12:30:35, 135912,502, 362.32, 363.75, 361.46, 366.53, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 12:40:56, 157540,534, 362.62, 363.96, 362.19, 366.5, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-01-16 12:51:16, 180313,567, 365.6, 367.13, 364.9, 367.55, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
