Profile: oneExch-CoinbaseTenMins
Exchanges: Coinbase, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid2000, Ask2000, Bid5000, Ask5000, Bid7000, Ask7000, Bid10000, Ask10000, Bid20000, Ask20000, Bid30000, Ask30000, Bid50000, Ask50000, BidRatio10, BidRatio100, BidRatio1000, BidRatio2000, BidRatio5000, BidRatio7000, BidRatio10000, BidRatio20000, BidRatio30000, BidRatio50000, 
2016-01-16 02:31:00, 1150936,3758, 370.48, 370.59, 369.53, 372.47, 358.56, 397.08, 340.55, 418.81, 205.48, False, 147.44, False, 114.61, False, 57.06, False, False, False, False, False, -0.061, -0.058, -0.027, 0.025, 0.411, 0.578, 0.672, 0.837, False, False, 
2016-01-16 02:41:10, 1131424,3771, 370.19, 371.02, 368.72, 371.93, 357.13, 395.67, 338.4, 418.25, 203.91, False, 145.93, False, 111.83, False, 56.24, False, False, False, False, False, -0.073, -0.069, -0.035, 0.019, 0.409, 0.577, 0.676, 0.837, False, False, 
2016-01-16 02:51:26, 1150233,3730, 370.6, 371.33, 369.57, 372.56, 358.51, 400.73, 340.51, 419.62, 205.42, False, 147.39, False, 114.56, False, 57.03, False, False, False, False, False, -0.062, -0.059, -0.027, 0.025, 0.412, 0.578, 0.672, 0.837, False, False, 
2016-01-16 03:01:43, 1125795,3795, 372.7, 373.64, 371.16, 374.6, 357.12, 395.28, 338.25, 417.32, 203.47, False, 145.49, False, 111.45, False, 56.0, False, False, False, False, False, -0.08, -0.076, -0.035, 0.02, 0.41, 0.578, 0.677, 0.838, False, False, 
2016-01-16 03:12:31, 1129766,3734, 370.88, 372.76, 369.6, 373.71, 357.1, 400.79, 338.35, 419.61, 203.78, False, 145.8, False, 111.72, False, 56.17, False, False, False, False, False, -0.075, -0.071, -0.035, 0.019, 0.409, 0.577, 0.676, 0.837, False, False, 
2016-01-16 03:23:19, 1146218,3672, 371.06, 372.14, 369.95, 373.71, 357.21, 402.37, 338.9, 422.42, 204.79, False, 146.91, False, 114.19, False, 56.84, False, False, False, False, False, -0.076, -0.072, -0.035, 0.018, 0.406, 0.574, 0.669, 0.835, False, False, 
2016-01-16 03:37:55, 1152786,3691, 370.76, 372.15, 369.79, 373.18, 357.7, 401.54, 339.51, 421.64, 205.3, False, 147.42, False, 114.64, False, 57.11, False, False, False, False, False, -0.075, -0.072, -0.037, 0.016, 0.405, 0.573, 0.668, 0.834, False, False, 
2016-01-16 03:48:08, 1175171,3655, 372.27, 373.71, 371.18, 374.59, 358.99, 402.62, 341.46, 422.92, 207.11, False, 149.15, False, 116.18, False, 58.05, False, False, False, False, False, -0.064, -0.061, -0.026, 0.024, 0.408, 0.574, 0.668, 0.834, False, False, 
2016-01-16 03:58:53, 1182646,3639, 373.02, 373.64, 371.84, 374.72, 359.39, 402.94, 342.14, 423.79, 207.68, False, 149.71, False, 116.68, False, 58.36, False, False, False, False, False, -0.066, -0.062, -0.027, 0.022, 0.407, 0.572, 0.667, 0.833, False, False, 
2016-01-16 04:09:43, 1186526,3644, 369.7, 370.18, 367.17, 371.1, 358.26, 401.56, 341.58, 423.05, 207.83, False, 149.93, False, 116.9, False, 58.51, False, False, False, False, False, -0.056, -0.049, -0.024, 0.024, 0.406, 0.572, 0.666, 0.833, False, False, 
2016-01-16 04:20:32, 1176295,3634, 370.16, 371.81, 368.5, 372.82, 358.09, 402.08, 341.02, 423.28, 207.08, False, 149.18, False, 116.22, False, 58.09, False, False, False, False, False, -0.058, -0.053, -0.023, 0.026, 0.408, 0.574, 0.668, 0.834, False, False, 
2016-01-16 04:30:38, 1185647,3973, 371.81, 372.07, 370.1, 372.93, 358.75, 392.44, 341.76, 413.02, 207.93, False, 149.95, False, 116.89, False, 58.49, False, False, False, False, False, -0.062, -0.057, -0.025, 0.024, 0.406, 0.572, 0.666, 0.833, False, False, 
2016-01-16 04:40:50, 1162308,4016, 370.48, 371.17, 368.71, 372.5, 357.81, 391.27, 339.67, 411.8, 206.15, False, 148.2, False, 115.32, False, 57.52, False, False, False, False, False, -0.067, -0.062, -0.031, 0.021, 0.406, 0.573, 0.668, 0.834, False, False, 
2016-01-16 05:06:17, 1130846,4031, 373.36, 374.14, 368.66, 374.63, 357.38, 391.37, 338.3, 411.41, 204.04, False, 145.97, False, 111.84, False, 56.23, False, False, False, False, False, -0.07, -0.056, -0.024, 0.031, 0.415, 0.582, 0.68, 0.839, False, False, 
2016-01-16 05:16:34, 1145359,4004, 371.74, 372.35, 369.57, 372.72, 357.79, 391.48, 339.98, 412.21, 205.15, False, 147.07, False, 114.27, False, 56.84, False, False, False, False, False, -0.062, -0.056, -0.022, 0.029, 0.414, 0.58, 0.674, 0.838, False, False, 
2016-01-16 05:26:49, 1159548,3913, 368.4, 371.88, 367.36, 372.49, 358.36, 394.15, 340.97, 414.85, 206.26, False, 148.16, False, 115.23, False, 57.43, False, False, False, False, False, -0.053, -0.05, -0.024, 0.026, 0.411, 0.577, 0.671, 0.836, False, False, 
2016-01-16 05:37:02, 1156239,3980, 368.02, 368.91, 367.47, 370.09, 357.98, 390.57, 340.7, 411.92, 205.91, False, 147.86, False, 114.98, False, 57.28, False, False, False, False, False, -0.051, -0.05, -0.023, 0.027, 0.412, 0.578, 0.671, 0.836, False, False, 
2016-01-16 05:47:46, 1118010,3980, 368.53, 369.15, 363.64, 370.73, 355.82, 390.7, 337.09, 412.0, 202.84, False, 144.88, False, 110.91, False, 55.68, False, False, False, False, False, -0.068, -0.054, -0.031, 0.023, 0.412, 0.58, 0.679, 0.839, False, False, 
2016-01-16 05:58:30, 1153198,3980, 368.16, 369.91, 366.41, 370.52, 357.63, 390.68, 340.38, 411.99, 205.65, False, 147.61, False, 114.77, False, 57.15, False, False, False, False, False, -0.052, -0.047, -0.022, 0.027, 0.412, 0.578, 0.672, 0.837, False, False, 
2016-01-16 06:09:16, 1157295,3944, 368.07, 369.64, 366.57, 370.29, 357.73, 392.16, 340.56, 413.34, 205.85, False, 147.86, False, 115.01, False, 57.32, False, False, False, False, False, -0.052, -0.047, -0.022, 0.027, 0.412, 0.578, 0.671, 0.836, False, False, 
