Profile: oneExch-HitbitTenMins
Exchanges: Hitbtc, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid2000, Ask2000, Bid5000, Ask5000, Bid7000, Ask7000, Bid10000, Ask10000, Bid20000, Ask20000, Bid30000, Ask30000, Bid50000, Ask50000, BidRatio10, BidRatio100, BidRatio1000, BidRatio2000, BidRatio5000, BidRatio7000, BidRatio10000, BidRatio20000, BidRatio30000, BidRatio50000, 
2016-01-16 02:31:10, 427887,731, 368.65, 392.98, 345.8, 447.82, 305.36, False, 210.31, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.442, -0.353, -0.195, 0.177, False, False, False, False, False, False, 
2016-01-16 02:41:19, 438336,693, 368.53, 392.82, 345.86, 451.75, 307.89, False, 214.69, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.434, -0.346, -0.198, 0.165, False, False, False, False, False, False, 
2016-01-16 02:51:35, 479516,731, 369.41, 393.28, 348.39, 452.46, 315.72, False, 213.34, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.343, -0.266, -0.148, 0.225, False, False, False, False, False, False, 
2016-01-16 03:01:52, 466702,709, 370.5, 394.19, 349.47, 449.42, 309.23, False, 213.37, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.382, -0.304, -0.154, 0.204, False, False, False, False, False, False, 
2016-01-16 03:12:40, 473241,746, 371.07, 387.32, 348.31, 451.03, 312.55, False, 215.3, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.353, -0.27, -0.14, 0.215, False, False, False, False, False, False, 
2016-01-16 03:23:28, 446012,658, 369.15, 387.96, 345.31, 446.19, 312.77, False, 216.72, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.377, -0.288, -0.167, 0.191, False, False, False, False, False, False, 
2016-01-16 03:38:05, 431471,634, 370.91, 390.91, 351.6, 449.13, 310.77, False, 209.2, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.5, -0.422, -0.257, 0.154, False, False, False, False, False, False, 
2016-01-16 03:48:18, 473764,665, 370.57, 392.93, 350.32, 445.74, 313.33, False, 216.82, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.335, -0.262, -0.129, 0.219, False, False, False, False, False, False, 
2016-01-16 03:59:03, 446102,658, 371.36, 398.24, 349.89, 449.8, 309.47, False, 210.04, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.485, -0.399, -0.237, 0.16, False, False, False, False, False, False, 
2016-01-16 04:09:53, 474934,737, 366.45, 396.41, 346.04, 448.63, 313.86, False, 215.75, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.326, -0.252, -0.136, 0.219, False, False, False, False, False, False, 
2016-01-16 04:20:42, 418651,600, 366.88, 394.2, 343.09, 447.17, 305.72, False, 205.82, False, False, False, False, False, False, False, False, False, False, False, False, False, -0.467, -0.372, -0.223, 0.177, False, False, False, False, False, False, 
