Profile: oneExch-ItbitTenMins
Exchanges: Itbit, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid2000, Ask2000, Bid5000, Ask5000, Bid7000, Ask7000, Bid10000, Ask10000, Bid20000, Ask20000, Bid30000, Ask30000, Bid50000, Ask50000, BidRatio10, BidRatio100, BidRatio1000, BidRatio2000, BidRatio5000, BidRatio7000, BidRatio10000, BidRatio20000, BidRatio30000, BidRatio50000, 
2016-01-16 02:31:10, 1220318,3133, 371.2, 371.61, 370.8, 372.06, 362.9, 373.58, 336.37, 389.57, 232.93, False, False, False, False, False, False, False, False, False, False, False, -0.087, -0.086, -0.063, 0.015, 0.318, False, False, False, False, False, 
2016-01-16 02:41:20, 1214389,3185, 370.06, 370.41, 369.71, 370.64, 362.02, 372.28, 334.7, 387.42, 232.43, False, False, False, False, False, False, False, False, False, False, False, -0.084, -0.083, -0.061, 0.019, 0.319, False, False, False, False, False, 
2016-01-16 02:51:36, 1215551,3165, 369.89, 370.62, 369.62, 370.96, 362.1, 372.51, 334.78, 388.01, 232.52, False, False, False, False, False, False, False, False, False, False, False, -0.084, -0.083, -0.061, 0.019, 0.319, False, False, False, False, False, 
2016-01-16 03:01:52, 1219386,3178, 373.59, 373.81, 373.11, 374.35, 365.02, 375.98, 336.94, 390.16, 233.33, False, False, False, False, False, False, False, False, False, False, False, -0.086, -0.085, -0.061, 0.021, 0.322, False, False, False, False, False, 
2016-01-16 03:12:40, 1219763,3166, 371.19, 371.75, 370.78, 372.07, 363.27, 373.62, 336.98, 388.88, 233.06, False, False, False, False, False, False, False, False, False, False, False, -0.084, -0.083, -0.061, 0.016, 0.319, False, False, False, False, False, 
2016-01-16 03:23:29, 1222175,3145, 370.75, 371.37, 370.42, 371.73, 363.03, 373.29, 336.51, 389.0, 233.08, False, False, False, False, False, False, False, False, False, False, False, -0.083, -0.082, -0.061, 0.017, 0.319, False, False, False, False, False, 
2016-01-16 03:38:05, 1222570,3176, 370.91, 371.36, 370.44, 371.44, 363.11, 373.28, 336.56, 388.19, 233.12, False, False, False, False, False, False, False, False, False, False, False, -0.084, -0.082, -0.061, 0.017, 0.319, False, False, False, False, False, 
2016-01-16 03:48:19, 1217894,3173, 371.55, 372.0, 371.13, 372.14, 363.07, 373.94, 335.4, 388.57, 232.83, False, False, False, False, False, False, False, False, False, False, False, -0.088, -0.087, -0.063, 0.018, 0.318, False, False, False, False, False, 
2016-01-16 03:59:03, 1216291,3176, 371.66, 372.25, 371.3, 372.59, 363.18, 374.12, 335.39, 388.64, 232.73, False, False, False, False, False, False, False, False, False, False, False, -0.088, -0.087, -0.063, 0.018, 0.319, False, False, False, False, False, 
2016-01-16 04:09:54, 1220073,3165, 367.82, 368.35, 367.49, 368.39, 360.45, 370.28, 335.11, 386.51, 232.46, False, False, False, False, False, False, False, False, False, False, False, -0.08, -0.079, -0.058, 0.016, 0.317, False, False, False, False, False, 
