Profile: oneExch-OkcoinTenMins
Exchanges: Okcoin, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid2000, Ask2000, Bid5000, Ask5000, Bid7000, Ask7000, Bid10000, Ask10000, Bid20000, Ask20000, Bid30000, Ask30000, Bid50000, Ask50000, BidRatio10, BidRatio100, BidRatio1000, BidRatio2000, BidRatio5000, BidRatio7000, BidRatio10000, BidRatio20000, BidRatio30000, BidRatio50000, 
2016-01-16 02:32:11, 1804754,5469, 371.49, 372.74, 370.76, 373.8, 366.93, 378.78, 361.9, 381.58, 352.68, 391.65, False, False, False, False, False, False, False, False, False, False, -0.025, -0.023, -0.012, 0.002, 0.027, False, False, False, False, False, 
2016-01-16 02:42:21, 1780152,5886, 371.29, 372.15, 370.38, 374.71, 366.82, 378.23, 361.84, 381.34, 352.64, 390.97, False, False, False, False, False, False, False, False, False, False, -0.024, -0.022, -0.012, 0.002, 0.027, False, False, False, False, False, 
2016-01-16 02:52:34, 1860029,6171, 373.02, 373.79, 371.97, 375.89, 368.63, 379.67, 364.96, 382.25, 353.92, 392.17, False, False, False, False, False, False, False, False, False, False, -0.022, -0.019, -0.01, 0.0, 0.03, False, False, False, False, False, 
2016-01-16 03:02:52, 1902988,6183, 373.11, 375.29, 371.96, 376.2, 368.88, 379.1, 365.16, 381.82, 354.69, 391.87, False, False, False, False, False, False, False, False, False, False, -0.022, -0.019, -0.011, -0.0, 0.028, False, False, False, False, False, 
2016-01-16 03:13:34, 1905369,6116, 372.27, 373.33, 371.77, 375.95, 368.73, 379.6, 365.05, 382.09, 354.6, 392.37, False, False, False, False, False, False, False, False, False, False, -0.02, -0.019, -0.01, -0.0, 0.028, False, False, False, False, False, 
2016-01-16 03:24:23, 1827188,6178, 372.12, 372.49, 371.64, 374.84, 367.76, 379.02, 364.26, 381.79, 353.61, 391.75, False, False, False, False, False, False, False, False, False, False, -0.023, -0.022, -0.011, -0.002, 0.028, False, False, False, False, False, 
2016-01-16 03:38:09, 1833936,6103, 371.7, 372.36, 371.15, 374.6, 367.45, 378.01, 362.05, 380.92, 352.9, 390.32, False, False, False, False, False, False, False, False, False, False, -0.022, -0.021, -0.01, 0.004, 0.03, False, False, False, False, False, 
2016-01-16 03:48:22, 1856224,5873, 371.83, 373.08, 371.6, 374.7, 368.5, 378.37, 364.74, 381.42, 353.84, 391.02, False, False, False, False, False, False, False, False, False, False, -0.02, -0.019, -0.011, -0.0, 0.03, False, False, False, False, False, 
2016-01-16 03:59:07, 1820955,6012, 372.52, 373.62, 371.84, 374.62, 367.62, 378.97, 363.93, 381.69, 353.42, 391.71, False, False, False, False, False, False, False, False, False, False, -0.024, -0.022, -0.011, -0.001, 0.028, False, False, False, False, False, 
2016-01-16 04:09:57, 1779208,5617, 367.96, 368.97, 367.59, 369.88, 364.26, 376.15, 360.6, 380.06, 350.13, 388.98, False, False, False, False, False, False, False, False, False, False, -0.02, -0.018, -0.009, 0.001, 0.03, False, False, False, False, False, 
2016-01-16 04:20:46, 1691711,5994, 370.57, 371.57, 370.34, 373.84, 365.52, 378.79, 361.23, 381.51, False, 390.85, False, False, False, False, False, False, False, False, False, False, -0.024, -0.024, -0.01, 0.002, False, False, False, False, False, False, 
2016-01-16 04:30:53, 1758769,5618, 369.93, 371.24, 369.09, 372.36, 364.6, 377.98, 360.86, 381.2, 350.89, 390.76, False, False, False, False, False, False, False, False, False, False, -0.025, -0.023, -0.01, 0.0, 0.028, False, False, False, False, False, 
2016-01-16 04:41:08, 1581090,5827, 371.4, 372.16, 370.64, 373.25, 365.61, 378.74, 361.28, 381.48, False, 391.52, False, False, False, False, False, False, False, False, False, False, -0.026, -0.024, -0.01, 0.001, False, False, False, False, False, False, 
2016-01-16 05:06:36, 1825837,5629, 372.86, 374.4, 372.83, 375.29, 367.96, 380.04, 362.35, 383.05, 352.96, 392.79, False, False, False, False, False, False, False, False, False, False, -0.025, -0.025, -0.012, 0.004, 0.029, False, False, False, False, False, 
2016-01-16 05:16:51, 1804541,5427, 372.03, 373.23, 371.3, 373.96, 366.65, 379.58, 361.77, 382.41, 352.35, 392.26, False, False, False, False, False, False, False, False, False, False, -0.028, -0.026, -0.013, 0.001, 0.027, False, False, False, False, False, 
2016-01-16 05:27:05, 1764299,5978, 371.77, 372.42, 371.3, 373.9, 366.02, 378.76, 361.56, 381.61, 352.03, 391.6, False, False, False, False, False, False, False, False, False, False, -0.027, -0.026, -0.012, 0.001, 0.027, False, False, False, False, False, 
2016-01-16 05:37:13, 1764687,5595, 370.51, 371.35, 370.19, 373.31, 365.62, 378.37, 361.26, 381.25, 351.54, 390.88, False, False, False, False, False, False, False, False, False, False, -0.024, -0.023, -0.011, 0.002, 0.028, False, False, False, False, False, 
2016-01-16 05:47:56, 1638867,5810, 371.22, 371.97, 370.94, 373.53, 365.9, 378.64, 362.16, 381.51, False, 391.54, False, False, False, False, False, False, False, False, False, False, -0.026, -0.025, -0.011, -0.001, False, False, False, False, False, False, 
2016-01-16 05:58:40, 1551669,5847, 370.84, 371.96, 369.78, 373.08, 365.29, 378.49, 360.82, 381.34, False, 391.07, False, False, False, False, False, False, False, False, False, False, -0.027, -0.024, -0.011, 0.001, False, False, False, False, False, False, 
2016-01-16 06:09:26, 1602124,5535, 370.48, 371.42, 369.55, 372.93, 364.76, 377.99, 360.73, 381.23, False, 390.83, False, False, False, False, False, False, False, False, False, False, -0.026, -0.024, -0.011, 0.001, False, False, False, False, False, False, 
2016-01-16 06:20:06, 1658996,5629, 367.0, 367.93, 365.63, 369.04, 362.64, 373.24, 358.25, 377.36, False, 386.55, False, False, False, False, False, False, False, False, False, False, -0.019, -0.015, -0.007, 0.005, False, False, False, False, False, False, 
