Profile: profile1
Exchanges: Bitfinex, Bitstamp, Coinbase, Okcoin, Btce, Itbit, Anxhk, Kraken, Hitbtc, Bitbay, Campbx, Cointrader, Rock, Lakebtc, Vircurex, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid10000, Ask10000, BidRatio10, BidRatio100, BidRatio1000, BidRatio10000, 
2016-01-07 15:13:22, 21658843,40738, 455.1, 410.98, 454.68, 444.62, 452.79, 451.41, 445.18, 456.37, -0.007, -0.007, -0.002, 0.014, 
2016-01-11 12:19:14, 482,32, 37.48, 411.01, 1.04, False, 0.31, False, False, False, -374799999.0, -10399999.0, -3099999.0, False, 
2016-01-14 00:19:49, 2055896,5445, 432.45, 411.01, 432.05, 428.62, 429.98, 434.55, 192.75, False, -0.013, -0.012, -0.007, 0.548, 
2016-01-16 12:19:52, An exchange was down. This profile is being skipped. Failed exchange = Exmo, URL=https://api.exmo.com/v1/order_book/?pair=BTC_USD
2016-01-19 00:19:56, 11671514,11645, 384.2, 387.7, 384.15, 388.63, 383.3, 389.83, 381.3, 405.08, -0.002, -0.002, 0.0, 0.005, 
2016-01-21 12:20:24, 7171582,20598, 410.74, 412.75, 410.74, 413.5, 410.74, 413.51, 409.17, 417.74, 0.0, 0.0, 0.0, 0.004, 
2016-01-24 00:20:37, 6409146,13916, 386.7, 390.27, 386.23, 390.29, 386.23, 390.53, 383.06, 392.53, -0.001, 0.0, 0.0, 0.008, 
2016-03-12 20:17:13, 15378017,49189, 408.57, 410.0, 408.36, 410.05, 408.08, 410.05, 407.82, 411.61, -0.001, -0.001, 0.0, 0.001, 
2016-03-15 08:17:13, 15957902,51439, 414.13, 415.0, 414.03, 415.03, 413.9, 415.03, 413.75, 416.69, -0.001, -0.0, 0.0, 0.0, 
2016-03-17 20:17:32, 7400240,15034, 417.0, 418.92, 417.0, 418.97, 415.47, 420.79, 414.81, 421.63, -0.004, -0.004, 0.0, 0.002, 
2016-03-20 08:17:43, 9312528,33920, 409.8, 411.14, 409.52, 411.18, 408.75, 411.24, 406.12, 411.72, -0.003, -0.002, 0.0, 0.006, 
2016-03-22 20:18:01, 27063317,3774, 417.85, 419.5, 417.85, 419.58, 417.35, 419.96, 416.65, False, -0.001, -0.001, 0.0, 0.002, 
2016-03-25 08:18:24, 16651609,27995, 413.8, 416.3, 413.58, 416.3, 413.44, 417.08, 412.91, 420.21, -0.001, 0.0, 0.0, 0.002, 
2016-03-27 20:19:08, 21621544,31683, 424.4, 426.19, 423.39, 426.44, 423.19, 426.61, 422.07, 431.87, -0.003, -0.0, 0.0, 0.003, 
2016-03-30 08:19:53, 15678199,25976, 413.1, 416.19, 413.01, 416.63, 412.76, 416.95, 411.21, 419.83, -0.001, -0.001, 0.0, 0.004, 
2016-04-01 20:20:43, 17115641,37532, 416.31, 417.9, 416.04, 417.96, 415.82, 418.07, 415.02, 418.56, -0.001, -0.001, 0.0, 0.002, 
2016-04-10 22:03:30, 16139447,28661, 421.3, 423.79, 421.21, 423.8, 420.55, 423.8, 420.0, 425.51, -0.002, -0.002, 0.0, 0.001, 
2016-04-13 10:04:07, 16730427,56221, 425.6, 426.0, 425.51, 426.02, 425.28, 426.95, 423.12, 427.04, -0.001, -0.001, 0.0, 0.005, 
2016-04-15 22:04:45, 13356327,76200, 426.71, 429.19, 426.66, 429.27, 426.65, 429.83, 426.07, 431.18, -0.0, -0.0, 0.0, 0.001, 
2016-04-18 10:04:53, 12281727,63321, 426.23, 427.89, 426.23, 427.98, 426.03, 428.52, 424.82, 429.5, -0.0, -0.0, 0.0, 0.003, 
2016-04-25 03:19:13, 9857653,113493, 452.23, 455.0, 452.2, 455.0, 450.11, 455.0, 450.11, 458.77, -0.005, -0.005, 0.0, 0.0, 
2016-04-25 21:32:06, 10219126,85579, 458.0, 458.55, 456.57, 458.7, 454.11, 458.95, 450.72, 460.52, -0.009, -0.005, 0.0, 0.007, 
2016-04-28 09:32:37, 19173102,41990, 442.04, 446.0, 442.04, 446.19, 442.02, 446.19, 440.32, 446.2, -0.0, -0.0, 0.0, 0.004, 
2016-05-01 01:37:17, 17908988,15121, 446.56, 448.0, 446.13, 450.52, 444.12, 450.87, 444.12, 451.68, -0.005, -0.005, 0.0, 0.0, 
