Profile: profile2
Exchanges: Bitfinex, Bitstamp, Coinbase, Okcoin, Btce, Itbit, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid10000, Ask10000, Bid50000, Ask50000, Bid100000, Ask100000, BidRatio10, BidRatio100, BidRatio1000, BidRatio10000, BidRatio50000, BidRatio100000, 
2016-01-07 15:13:31, 20710817,38780, 455.07, 449.43, 454.75, 449.88, 452.99, 452.44, 445.25, 456.82, 367.51, False, 201.7, False, -0.007, -0.007, -0.003, 0.015, 0.187, 0.554, 
2016-01-11 12:19:26, 18939790,38414, 447.1, 444.1, 446.98, 444.86, 445.57, 446.15, 438.86, 451.3, 344.89, False, 181.92, False, -0.005, -0.005, -0.002, 0.013, 0.225, 0.591, 
2016-01-14 00:20:00, 18543001,41920, 432.37, 430.93, 431.8, 430.97, 430.64, 431.94, 424.1, 437.68, 335.35, False, 178.48, False, -0.006, -0.004, -0.002, 0.014, 0.22, 0.585, 
2016-01-16 12:21:34, 15507224,47230, 368.09, 363.97, 368.07, 365.68, 367.13, 368.09, 358.54, 376.77, 282.3, False, 149.98, False, -0.003, -0.003, 0.0, 0.023, 0.231, 0.591, 
2016-01-19 00:21:54, 17173425,48509, 386.06, 384.5, 385.9, 384.76, 385.07, 385.73, 378.09, 392.58, 307.05, False, 169.2, False, -0.003, -0.002, 0.0, 0.018, 0.203, 0.561, 
2016-01-21 12:22:16, 17707443,36790, 415.11, 413.97, 414.9, 414.95, 414.03, 416.18, 406.77, 424.95, 322.33, False, 169.88, False, -0.003, -0.002, 0.0, 0.018, 0.221, 0.59, 
2016-01-24 00:22:34, 15812809,48940, 389.38, 386.15, 387.79, 386.77, 385.96, 388.05, 377.9, 397.11, 295.6, False, 154.56, False, -0.009, -0.005, 0.0, 0.021, 0.234, 0.6, 
2016-03-12 20:17:24, 16641568,44689, 410.24, 409.91, 410.13, 409.95, 409.43, 410.99, 402.88, 416.83, 314.44, False, 165.42, False, -0.002, -0.002, 0.0, 0.016, 0.232, 0.596, 
2016-03-15 08:17:22, 17704573,40377, 416.14, 415.15, 415.81, 415.29, 414.79, 415.97, 409.18, 421.29, 328.89, False, 171.7, False, -0.003, -0.002, 0.0, 0.014, 0.207, 0.586, 
2016-03-17 20:17:43, 17805236,41837, 419.08, 417.97, 418.95, 417.98, 418.26, 418.54, 413.52, 423.28, 330.83, False, 172.55, False, -0.002, -0.002, 0.0, 0.011, 0.209, 0.587, 
2016-03-20 08:17:53, 17211255,37767, 410.78, 409.16, 410.51, 409.68, 409.4, 410.95, 403.12, 417.17, 325.28, False, 168.66, False, -0.003, -0.003, 0.0, 0.015, 0.205, 0.588, 
2016-03-22 20:18:10, 17782030,37178, 417.65, 415.0, 417.21, 415.14, 416.25, 416.99, 408.51, 422.89, 330.55, False, 170.47, False, -0.003, -0.002, 0.0, 0.019, 0.206, 0.59, 
2016-03-25 08:18:33, 17314931,39583, 416.64, 415.07, 416.3, 415.39, 415.15, 416.56, 408.98, 420.43, 320.05, False, 168.05, False, -0.004, -0.003, 0.0, 0.015, 0.229, 0.595, 
2016-03-27 20:19:23, 18182897,34510, 428.05, 425.07, 427.9, 425.4, 426.2, 426.35, 418.46, 432.0, 339.96, False, 174.68, False, -0.004, -0.004, 0.0, 0.018, 0.202, 0.59, 
2016-03-30 08:20:04, 16168686,36805, 413.72, 411.46, 413.37, 411.86, 412.14, 413.78, 405.64, 421.59, 304.99, False, 161.23, False, -0.004, -0.003, 0.0, 0.016, 0.26, 0.609, 
2016-04-01 20:20:54, 16678691,36794, 416.54, 414.32, 416.23, 414.95, 415.23, 414.99, 408.64, 419.81, 320.12, False, 161.17, False, -0.003, -0.002, 0.0, 0.016, 0.229, 0.612, 
2016-04-10 22:03:40, 16346512,33427, 423.08, 417.74, 422.4, 418.36, 420.93, 421.6, 414.71, 426.36, 309.16, False, 159.45, False, -0.005, -0.003, 0.0, 0.015, 0.266, 0.621, 
2016-04-13 10:04:21, 17067241,36897, 425.51, 421.47, 425.18, 421.5, 424.06, 423.91, 420.08, 428.53, 326.91, False, 164.26, False, -0.003, -0.003, 0.0, 0.009, 0.229, 0.613, 
2016-04-15 22:04:56, 17662977,34688, 430.94, 425.94, 430.81, 426.04, 429.85, 427.75, 425.19, 433.95, 331.44, False, 168.19, False, -0.003, -0.002, 0.0, 0.011, 0.229, 0.609, 
2016-04-18 10:05:04, 17365924,32459, 430.09, 423.0, 429.99, 423.31, 428.85, 427.46, 423.91, 433.54, 330.2, False, 170.88, False, -0.003, -0.003, 0.0, 0.012, 0.23, 0.602, 
2016-04-25 03:19:26, 17669080,29310, 464.03, 448.66, 463.09, 449.58, 459.36, 455.28, 450.91, 468.37, 339.27, False, 171.12, False, -0.01, -0.008, 0.0, 0.018, 0.261, 0.627, 
2016-04-25 21:32:18, 17785469,29227, 468.32, 458.72, 467.82, 459.2, 465.89, 466.16, 456.46, 474.93, 342.05, False, 171.35, False, -0.005, -0.004, 0.0, 0.02, 0.266, 0.632, 
2016-04-28 09:32:47, 17934625,29713, 442.98, 441.79, 442.78, 442.23, 442.01, 443.87, 436.42, 453.7, 340.29, False, 172.99, False, -0.002, -0.002, 0.0, 0.013, 0.23, 0.609, 
2016-05-01 01:37:26, 17819713,30686, 453.29, 446.26, 452.49, 446.63, 447.53, 448.32, 440.28, 456.77, 340.8, False, 171.29, False, -0.013, -0.011, 0.0, 0.016, 0.238, 0.617, 
