Profile: profile3
Exchanges: Bitfinex, Bitstamp, Coinbase, Okcoin, Btce, Itbit, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid10000, Ask10000, Bid50000, Ask50000, BidRatio10, BidRatio100, BidRatio1000, BidRatio10000, BidRatio50000, 
2016-01-07 15:13:38, 20659157,38653, 455.22, 449.45, 454.92, 449.89, 453.15, 452.5, 445.35, 456.9, 367.44, False, -0.007, -0.006, -0.002, 0.015, 0.187, 
2016-01-11 12:19:36, 18941266,38320, 447.12, 444.47, 446.94, 445.01, 445.63, 446.22, 438.85, 451.51, 344.9, False, -0.005, -0.005, -0.002, 0.013, 0.225, 
2016-01-14 00:20:09, 18514924,41839, 432.37, 430.93, 431.79, 430.96, 430.63, 431.94, 424.07, 437.72, 335.23, False, -0.006, -0.004, -0.001, 0.014, 0.22, 
2016-01-16 12:21:43, 15571541,47298, 368.14, 363.98, 368.09, 365.62, 367.04, 368.03, 358.5, 376.48, 282.47, False, -0.003, -0.003, 0.0, 0.023, 0.23, 
2016-01-19 00:22:03, 17212165,47993, 386.11, 384.5, 385.98, 384.75, 385.2, 385.73, 378.12, 394.39, 307.16, False, -0.002, -0.002, 0.0, 0.018, 0.203, 
2016-01-21 12:22:26, 17676308,36746, 414.85, 413.97, 414.71, 414.9, 413.87, 416.03, 406.66, 424.98, 322.19, False, -0.002, -0.002, 0.0, 0.017, 0.222, 
2016-01-24 00:22:42, 15775337,48900, 389.38, 386.15, 387.64, 386.77, 385.93, 388.05, 377.89, 397.13, 295.42, False, -0.009, -0.004, 0.0, 0.021, 0.235, 
2016-03-12 20:17:33, 16600642,44684, 410.25, 409.91, 410.13, 409.95, 409.36, 411.0, 402.68, 416.83, 314.26, False, -0.002, -0.002, 0.0, 0.016, 0.232, 
2016-03-15 08:18:55, 17762893,39949, 416.23, 415.14, 415.86, 415.18, 414.96, 415.96, 409.5, 421.56, 329.18, False, -0.003, -0.002, 0.0, 0.013, 0.207, 
2016-03-17 20:20:19, 17818116,42136, 419.09, 417.97, 418.97, 417.98, 418.27, 418.54, 413.53, 423.06, 330.87, False, -0.002, -0.002, 0.0, 0.011, 0.209, 
2016-03-20 08:20:35, 17201133,37771, 410.8, 408.94, 410.44, 409.48, 409.32, 410.93, 403.02, 417.13, 325.2, False, -0.004, -0.003, 0.0, 0.015, 0.206, 
2016-03-22 20:20:49, 17747982,37850, 417.52, 415.0, 417.23, 415.14, 416.29, 416.94, 408.46, 422.72, 330.42, False, -0.003, -0.002, 0.0, 0.019, 0.206, 
2016-03-25 08:22:27, 17298610,39636, 416.3, 415.13, 416.02, 415.43, 414.98, 416.58, 408.91, 420.38, 319.96, False, -0.003, -0.003, 0.0, 0.015, 0.229, 
2016-03-27 20:23:12, 18155974,34936, 427.7, 424.74, 427.55, 425.25, 425.9, 426.26, 418.31, 431.65, 339.61, False, -0.004, -0.004, 0.0, 0.018, 0.203, 
2016-03-30 08:23:58, 16153219,36414, 413.72, 411.96, 413.4, 412.04, 411.94, 413.7, 405.61, 421.87, 304.87, False, -0.004, -0.004, 0.0, 0.015, 0.26, 
2016-04-01 20:24:31, 16679460,36948, 416.71, 414.14, 416.38, 414.94, 415.24, 414.99, 408.63, 419.78, 320.12, False, -0.004, -0.003, 0.0, 0.016, 0.229, 
2016-04-10 22:03:41, 7561,23, 238.86, 657.53, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-04-13 10:04:23, 7776,3, 279.95, False, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-04-15 22:04:58, 7776,13, 279.95, 567.72, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-04-18 10:05:06, 7757,14, 278.23, 512.83, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-04-25 03:19:28, 8067,11, 287.53, 892.05, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-04-25 21:32:20, 8067,11, 287.53, 892.05, False, False, False, False, False, False, False, False, False, False, False, False, False, 
2016-04-28 09:32:49, 142982,251, 440.0, 441.95, 438.64, 444.02, False, False, False, False, False, False, False, False, False, False, False, 
2016-05-01 01:37:27, 172602,362, 446.26, 446.97, 445.67, 447.76, False, False, False, False, False, False, False, False, False, False, False, 
