Profile: profile4
Exchanges: Anxhk, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid10000, Ask10000, BidRatio10, BidRatio100, BidRatio1000, BidRatio10000, 
2016-01-07 15:13:39, 122200,384, 449.41, 465.06, 442.15, 474.04, False, False, False, False, False, False, False, False, 
2016-01-11 12:19:36, 114116,368, 439.28, 448.32, 431.45, 463.96, False, False, False, False, False, False, False, False, 
2016-01-14 00:20:10, 120378,407, 419.99, 436.8, 415.29, 447.58, False, False, False, False, False, False, False, False, 
2016-01-16 12:21:46, 3957599,16854, 367.53, 368.33, 366.77, 368.35, 358.91, 369.72, 307.48, 419.91, -0.024, -0.022, 0.0, 0.143, 
2016-01-19 00:22:03, 4192057,15626, 384.02, 385.32, 383.29, 385.92, 378.74, 389.46, 326.93, 433.58, -0.014, -0.012, 0.0, 0.137, 
2016-01-21 12:22:27, 4927588,12825, 414.49, 415.24, 413.39, 415.73, 410.49, 419.69, 357.31, 468.08, -0.01, -0.007, 0.0, 0.13, 
2016-01-24 00:22:43, 4227673,15482, 385.86, 387.05, 385.22, 388.15, 380.54, 391.44, 330.36, 435.72, -0.014, -0.012, 0.0, 0.132, 
2016-03-12 20:17:34, 5283890,12128, 410.1, 411.0, 408.79, 411.3, 404.42, 413.88, 373.28, 466.35, -0.014, -0.011, 0.0, 0.077, 
2016-03-15 08:18:56, 5388679,11887, 414.62, 415.63, 414.05, 416.34, 408.1, 420.01, 375.96, 484.57, -0.016, -0.015, 0.0, 0.079, 
2016-03-17 20:20:20, 4774714,11843, 418.47, 418.98, 417.84, 419.32, 412.96, 420.71, 364.73, 484.92, -0.013, -0.012, 0.0, 0.117, 
2016-03-20 08:20:35, 5171868,12114, 408.6, 409.6, 407.13, 410.41, 403.31, 412.47, 373.22, 474.72, -0.013, -0.009, 0.0, 0.075, 
2016-03-22 20:20:50, 5255504,11052, 416.18, 416.7, 414.93, 416.95, 407.6, 419.04, 376.54, 528.05, -0.021, -0.018, 0.0, 0.076, 
2016-03-25 08:22:27, 5190934,10578, 414.93, 416.36, 413.42, 416.61, 406.82, 418.55, 374.41, 676.95, -0.02, -0.016, 0.0, 0.08, 
2016-03-27 20:23:12, 5220871,9339, 424.96, 426.06, 424.16, 426.58, 417.87, 428.78, 377.25, False, -0.017, -0.015, 0.0, 0.097, 
2016-03-30 08:24:00, 5067610,8871, 411.91, 413.14, 411.29, 413.89, 407.33, 419.87, 375.22, False, -0.011, -0.01, 0.0, 0.079, 
2016-04-01 20:24:32, 4971056,9527, 415.1, 415.5, 414.46, 415.56, 410.96, 418.7, 374.39, False, -0.01, -0.009, 0.0, 0.089, 
2016-04-10 22:03:42, 4566914,9816, 420.65, 421.31, 419.94, 421.76, 415.12, 423.41, 366.4, False, -0.013, -0.012, 0.0, 0.117, 
2016-04-13 10:04:23, 4547930,9023, 422.97, 423.96, 422.94, 424.44, 418.2, 427.11, 367.53, False, -0.011, -0.011, 0.0, 0.121, 
2016-04-15 22:04:58, 4529702,8800, 428.16, 429.24, 427.41, 429.47, 422.16, 431.84, 369.6, False, -0.014, -0.012, 0.0, 0.125, 
2016-04-18 10:05:06, 4687322,8737, 427.17, 428.55, 426.7, 428.56, 423.06, 430.2, 375.65, False, -0.01, -0.009, 0.0, 0.112, 
2016-04-25 03:19:28, 4990594,7261, 457.92, 459.06, 457.14, 460.52, 454.63, 463.65, 393.42, False, -0.007, -0.006, 0.0, 0.135, 
2016-04-25 21:32:23, 5031596,7090, 466.52, 466.99, 466.36, 467.71, 461.54, 470.99, 397.2, False, -0.011, -0.01, 0.0, 0.139, 
2016-04-28 09:32:50, 4611780,7646, 442.57, 443.55, 442.31, 444.31, 438.39, 449.22, 382.44, False, -0.01, -0.009, 0.0, 0.128, 
2016-05-01 01:37:35, 5099755,8138, 446.74, 447.63, 445.87, 448.53, 442.15, 454.02, 397.15, False, -0.01, -0.008, 0.0, 0.102, 
